Naslov,Mesto,Doplacilo,Posta,Cena,Ime_lokala
Mlinska ulica 2,MARIBOR,"3,34",2958,"6,03",MEATING PUB &amp; RESTAVRACIJA
Ciril Metodov trg 16,LJUBLJANA,"4,31",2597,"7,00",MEDITERRANEO
Ulica Jake Platiše 17,KRANJ,"2,74",2478,"5,43",MEHIŠKA RESTAVRACIJA CANTINA MARIA
Šmartinska 152g,LJUBLJANA,"4,31",1718,"7,00",MEHIŠKA RESTAVRACIJA IMPERIO - DOSTAVA
Šmartinska 152g,LJUBLJANA,"3,81",1407,"6,50",MEHIŠKA RESTAVRACIJA IMPERIO MEXICANO
Aškerčeva cesta 6,LJUBLJANA,"2,91",2826,"5,60",MENZA FS
Rimska cesta 25a,LJUBLJANA,"3,94",2995,"6,63",META &amp; BAZILIKA
Maistrov trg 13,KRANJ,"2,21",1214,"4,90",MLEČNA RESTAVRACIJA
Maistrov trg 13,KRANJ,"3,21",2542,"5,90",MLEČNA RESTAVRACIJA - DOSTAVA
Pistaniška ulica 2,KOPER/CAPODISTRIA,"3,81",2691,"6,50",MORNARČEK RIBJA KANTINA - RESTAVRACIJA
Trubarjeva ulica 31,LJUBLJANA,"3,24",2828,"5,93",NAMASTE INDIAN EXPRESS
Obala 4F,PORTOROŽ/PORTOROSE,"3,44",2249,"6,13",NEWS CAFE
Čopova 12,LJUBLJANA,"2,51",2725,"5,20",NO. 12 - GRIL &amp; KEBAB
Tyrševa 3,MARIBOR,"3,54",2765,"6,23",NOOMM
Cankarjeva ulica 58,MURSKA SOBOTA,"2,31",1232,"5,00",OKREPČEVALNICA - BISTRO TANJA
Linhartova 11,LJUBLJANA,"3,24",2732,"5,93",OKREPČEVALNICA - DINER KINO GLEDALIŠČE BEŽIGRAD
Dunajska cesta 111,LJUBLJANA,"3,21",1683,"5,90",OKREPČEVALNICA - PIZZERIJA MAKS
Trubarjeva cesta 36,LJUBLJANA,"2,54",2391,"5,23",OKREPČEVALNICA &quot;RIVIERA&quot;
Ajdovščina 4,LJUBLJANA,"2,84",2944,"5,53",OKREPČEVALNICA AJDA
Nove Fužine 43,LJUBLJANA,"2,94",3005,"5,63",OKREPČEVALNICA AZZURRO
